pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,9/27/2022,85.7,"Kirk, Alejandro",ground_ball,1,58.4,-63,85.8,2477,0.246,0.223,1
SI,9/27/2022,98.3,"Chapman, Matt",ground_ball,2,83.3,-49,98.6,2040,0.114,0.103,2
SI,9/27/2022,96.3,"Kirk, Alejandro",ground_ball,58,103.8,1,96.2,2073,0.466,0.42,4
SI,9/27/2022,96.2,"Guerrero Jr., Vladimir",ground_ball,2,71.1,-54,96.2,1925,0.243,0.237,2
SL,9/27/2022,81.9,"Springer, George",ground_ball,54,103.5,0,81.5,2660,0.469,0.441,4
SI,9/26/2022,98.2,"Hernández, Teoscar",ground_ball,144,92.1,9,98.6,2308,0.617,0.572,4
SI,9/26/2022,99.2,"Chapman, Matt",ground_ball,6,92.6,-18,99.5,2228,0.117,0.105,2
SI,9/26/2022,98.7,"Kirk, Alejandro",ground_ball,22,88.3,-4,98.6,2208,0.163,0.147,2
SL,9/26/2022,79.4,"Merrifield, Whit",ground_ball,35,90.7,-1,79.3,2434,0.271,0.256,2
CH,9/26/2022,91.7,"Guerrero Jr., Vladimir",ground_ball,9,91.6,-14,91.4,1947,0.149,0.136,2
SI,9/26/2022,97.2,"Biggio, Cavan",ground_ball,6,73.5,-14,96.2,2177,0.043,0.039,2
SI,9/26/2022,98.9,"Bichette, Bo",ground_ball,7,57.7,-17,99,2399,0.071,0.069,1
SI,9/26/2022,94,"Jansen, Danny",ground_ball,111,107.1,5,93.3,2297,0.58,0.532,4
SL,9/26/2022,87,"Guerrero Jr., Vladimir",line_drive,225,117.3,8,86.4,2955,0.78,0.779,6
SI,9/26/2022,95.9,"Bichette, Bo",fly_ball,365,101.4,27,95.3,2336,0.62,1.108,6
CH,9/26/2022,83.4,"Jansen, Danny",ground_ball,63,104.4,1,83.9,2015,0.466,0.42,4
SI,9/26/2022,96.7,"Tapia, Raimel",ground_ball,35,108.2,-2,95.7,2137,0.463,0.429,4
FF,9/26/2022,94.3,"Tapia, Raimel",ground_ball,45,57.9,3,94.4,2414,0.129,0.116,1
FF,9/25/2022,97.1,"Guerrero Jr., Vladimir",ground_ball,91,68.9,7,97.9,2212,0.18,0.162,2
SL,9/25/2022,81.3,"Kirk, Alejandro",line_drive,153,74.1,14,81.5,2523,0.491,0.442,4
FF,9/25/2022,96.1,"Hernández, Teoscar",fly_ball,464,113.2,31,95.7,2236,0.951,1.975,6
SL,9/25/2022,81.3,"Guerrero Jr., Vladimir",ground_ball,19,112.5,-7,81.3,2410,0.397,0.357,2
SL,9/25/2022,80.4,"Bichette, Bo",popup,19,79.8,84,80.5,2393,0.014,0.016,3
FC,9/25/2022,93.4,"Tapia, Raimel",ground_ball,23,96.8,-6,94.2,2246,0.246,0.221,2
SL,9/25/2022,79.6,"Tapia, Raimel",ground_ball,120,91.8,9,79.2,2432,0.617,0.572,4
SI,9/25/2022,92.4,"Merrifield, Whit",popup,48,87.9,86,91.9,2357,0.017,0.02,3
FC,9/24/2022,87.3,"Hernández, Teoscar",line_drive,298,110.3,17,87.3,2520,0.737,0.951,6
FF,9/24/2022,93.9,"Chapman, Matt",line_drive,331,89.1,26,93.9,2286,0.129,0.169,3
SI,9/24/2022,96.3,"Kirk, Alejandro",ground_ball,3,83,-17,95,2373,0.097,0.1,2
SL,9/24/2022,80.5,"Bradley Jr., Jackie",fly_ball,207,64.6,40,78.9,3078,0.489,0.44,4
SL,9/24/2022,81.5,"Merrifield, Whit",fly_ball,374,95.1,35,80.5,3043,0.091,0.15,3
SL,9/24/2022,81.9,"Hernández, Teoscar",ground_ball,49,100.5,-1,81.8,2472,0.386,0.357,2
SL,9/24/2022,88.4,"Bichette, Bo",ground_ball,4,108.6,-20,87.4,2755,0.169,0.152,2
SI,9/24/2022,95.2,"Springer, George",popup,83,80.1,75,93.6,2258,0.011,0.013,3
SL,9/24/2022,78.8,"Chapman, Matt",line_drive,200,101,13,78.2,2475,0.897,0.901,4
