pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,9/18/2022,82.9,"Guillorme, Luis",ground_ball,11,50.4,-8,83.4,3081,0.117,0.105,1
FC,9/18/2022,91.4,"Canha, Mark",ground_ball,75,102.1,3,91.9,2153,0.56,0.546,4
FC,9/18/2022,91.8,"Vogelbach, Daniel",line_drive,229,80,18,92.4,1932,0.937,0.886,4
CU,9/18/2022,84.9,"Nimmo, Brandon",fly_ball,217,68.4,33,85.3,2480,0.809,0.801,4
SL,9/17/2022,82.7,"McCann, James",fly_ball,295,80.6,35,82.3,2312,0.029,0.031,3
FF,9/17/2022,92.5,"Naquin, Tyler",fly_ball,360,95.7,31,92.2,2422,0.209,0.391,5
SL,9/17/2022,84,"Alonso, Pete",ground_ball,2,51.8,-28,83.9,2379,0.117,0.121,1
FC,9/16/2022,94,"Guillorme, Luis",popup,114,63.5,65,94.1,2140,0.003,0.003,3
CH,9/16/2022,83.6,"Lindor, Francisco",ground_ball,6,55.8,-10,83.3,1750,0.091,0.085,1
CU,9/16/2022,82.7,"Nimmo, Brandon",fly_ball,210,74.2,45,81.8,2346,0.154,0.157,3
CU,9/16/2022,81.4,"Nido, Tomás",ground_ball,118,96.5,9,81.3,2437,0.634,0.571,4
SI,9/15/2022,96,"McNeil, Jeff",ground_ball,7,98.9,-14,95.9,2139,0.211,0.205,2
SL,9/15/2022,81.2,"Lindor, Francisco",line_drive,118,90.3,8,81.7,2217,0.537,0.509,4
SI,9/15/2022,95.2,"Escobar, Eduardo",ground_ball,11,89.1,-12,96,2148,0.137,0.128,2
KC,9/14/2022,77.3,"Nimmo, Brandon",ground_ball,1,56.1,-52,76.6,2735,0.209,0.188,1
SL,9/14/2022,79.9,"Nido, Tomás",ground_ball,71,98.1,3,80.6,2268,0.491,0.458,4
CH,9/14/2022,83.9,"Guillorme, Luis",ground_ball,16,64.2,-6,84.4,763,0.106,0.106,2
CU,9/14/2022,80.8,"Lindor, Francisco",ground_ball,11,87,-12,80,2159,0.14,0.13,2
FF,9/14/2022,90.7,"Escobar, Eduardo",fly_ball,380,101.2,37,91,2015,0.323,0.639,5
FF,9/13/2022,93.4,"Escobar, Eduardo",popup,128,68.8,63,93.5,2305,0.006,0.005,3
FF,9/13/2022,95.3,"McCann, James",fly_ball,325,95.1,32,95.1,2258,0.134,0.233,3
SI,9/13/2022,93.4,"Nimmo, Brandon",ground_ball,11,57,-11,92.6,2365,0.089,0.087,1
SL,9/12/2022,81.2,"Ruf, Darin",line_drive,246,75.8,27,81.1,2460,0.537,0.498,4
FF,9/12/2022,94.5,"Escobar, Eduardo",fly_ball,282,95.4,53,93.7,2428,0.006,0.005,3
SI,9/12/2022,94.8,"Alonso, Pete",ground_ball,32,101.9,-3,94.6,2038,0.323,0.291,2
SL,9/11/2022,77.7,"Nimmo, Brandon",ground_ball,8,77.4,-10,78,2103,0.094,0.095,2
SL,9/11/2022,88.4,"Naquin, Tyler",fly_ball,251,72.5,30,88.2,2688,0.697,0.67,4
FF,9/11/2022,90.9,"Vientos, Mark",popup,170,93.6,65,90.8,2092,0.017,0.022,3
SL,9/11/2022,89.3,"Lindor, Francisco",ground_ball,7,92.5,-16,89.4,2707,0.174,0.176,2
SL,9/10/2022,81.4,"Escobar, Eduardo",fly_ball,287,94.7,46,80.3,3008,0.006,0.008,3
SL,9/10/2022,81.5,"McNeil, Jeff",ground_ball,113,85.5,8,80.9,2884,0.449,0.421,4
SL,9/10/2022,81.6,"Lindor, Francisco",ground_ball,3,96.1,-23,80.6,2807,0.106,0.097,2
FF,9/9/2022,93.1,"Canha, Mark",line_drive,164,105.3,10,92.8,2195,0.82,0.807,4
SL,9/9/2022,83.2,"Alonso, Pete",popup,134,79.2,69,83.4,2485,0.006,0.005,3
FF,9/9/2022,97.9,"Nido, Tomás",line_drive,218,72.7,23,97.2,2722,0.926,0.868,4
SL,9/9/2022,84.5,"Lindor, Francisco",ground_ball,37,91.1,0,84,2449,0.289,0.26,2
CH,9/7/2022,82.4,"McNeil, Jeff",ground_ball,10,84.8,-7,82.8,1169,0.12,0.11,2
SI,9/7/2022,91.1,"Lindor, Francisco",line_drive,359,101.3,18,91.9,1859,0.4,0.455,5
FF,9/7/2022,91.7,"Alonso, Pete",fly_ball,249,79,42,92.3,2012,0.034,0.031,3
SI,9/7/2022,93.1,"Vogelbach, Daniel",fly_ball,346,94.5,28,94.6,2209,0.137,0.188,3
SI,9/7/2022,94.6,"Lindor, Francisco",ground_ball,66,94.4,2,94.8,2176,0.411,0.388,4
SI,9/7/2022,95.7,"Alonso, Pete",ground_ball,11,112.5,-10,96.1,2195,0.334,0.302,2
SI,9/7/2022,95,"Nimmo, Brandon",line_drive,302,86,26,95.2,2176,0.1,0.098,3
SI,9/7/2022,95.6,"Ruf, Darin",ground_ball,17,76.9,-8,96.4,2161,0.074,0.067,2
FF,9/7/2022,95.2,"Escobar, Eduardo",line_drive,244,94.7,13,95.2,2001,0.931,0.913,4
CH,9/7/2022,89.4,"Escobar, Eduardo",ground_ball,74,96.7,3,89.2,1579,0.506,0.493,4
SI,9/7/2022,96.3,"Escobar, Eduardo",line_drive,173,68.6,19,97.4,2252,0.723,0.651,4
CU,9/7/2022,79.6,"Naquin, Tyler",ground_ball,120,97.8,5,79.7,2038,0.554,0.511,4
SI,9/7/2022,95.9,"Canha, Mark",line_drive,282,96.7,18,97.3,2239,0.403,0.427,4
SI,9/7/2022,94.5,"Vogelbach, Daniel",line_drive,280,109.1,13,95.9,2211,0.849,0.913,5
SI,9/6/2022,95.6,"Nimmo, Brandon",ground_ball,39,99.2,-2,95.8,2310,0.351,0.335,2
FF,9/6/2022,95.1,"Nimmo, Brandon",fly_ball,429,107,25,94.8,2299,0.96,1.935,6
FF,9/4/2022,98.3,"Escobar, Eduardo",ground_ball,241,72.7,37,98.3,2025,0.357,0.349,3
CU,9/4/2022,82.3,"Canha, Mark",line_drive,199,95.6,12,81.9,1915,0.889,0.861,4
FF,9/4/2022,92,"Canha, Mark",popup,36,81.8,83,91.5,2290,0.017,0.02,3
FF,9/3/2022,93.3,"Lindor, Francisco",popup,123,83.9,68,94.4,2603,0.006,0.005,3
FF,9/3/2022,93.1,"Marte, Starling",ground_ball,10,92.1,-17,94.3,2457,0.126,0.113,2
FF,9/3/2022,94,"Nimmo, Brandon",ground_ball,5,91,-27,95.5,2511,0.074,0.067,2
FF,9/2/2022,92.8,"Nido, Tomás",popup,134,92.9,66,91.9,2374,0.017,0.021,3
FF,9/2/2022,91.8,"Escobar, Eduardo",fly_ball,305,100.9,45,91.1,2252,0.037,0.052,3
FF,9/1/2022,94,"Marte, Starling",line_drive,235,81.1,20,93.1,2404,0.877,0.853,4
FF,9/1/2022,94.4,"McNeil, Jeff",ground_ball,27,96.7,-4,94,2376,0.3,0.282,2
FF,9/1/2022,94,"Nimmo, Brandon",fly_ball,217,75.8,51,92.8,2411,0.086,0.087,3
SL,9/1/2022,84.1,"Canha, Mark",popup,87,79.3,71,84.6,2697,0.006,0.005,3
FF,8/30/2022,94.8,"Alonso, Pete",fly_ball,304,95.7,41,96.3,2368,0.04,0.066,3
FF,8/30/2022,92.3,"Vogelbach, Daniel",ground_ball,11,87.5,-19,90.6,2298,0.094,0.085,2
KC,8/28/2022,87.7,"Canha, Mark",ground_ball,21,81.3,-3,86.6,2609,0.174,0.176,2
FF,8/28/2022,95.3,"McNeil, Jeff",fly_ball,339,87.6,30,93.5,2132,0.057,0.069,3
SI,8/28/2022,99.1,"McNeil, Jeff",ground_ball,6,102.7,-21,98.2,2523,0.189,0.186,2
SI,8/27/2022,95.3,"Marte, Starling",line_drive,244,107.3,13,95.3,2349,0.806,0.841,5
CH,8/26/2022,88.9,"Baty, Brett",fly_ball,308,93.8,43,88.5,1605,0.009,0.008,3
FF,8/26/2022,98.4,"Canha, Mark",ground_ball,80,104.5,2,97.9,2324,0.474,0.427,4
SL,8/26/2022,88.3,"Alonso, Pete",ground_ball,19,100.9,-6,87.8,2756,0.254,0.229,2
FF,8/26/2022,98.5,"McNeil, Jeff",line_drive,296,98.3,14,98.4,2287,0.869,0.854,4
SI,8/26/2022,98.2,"Lindor, Francisco",line_drive,255,99.3,12,97.5,2543,0.906,0.88,4
SI,8/25/2022,94.6,"Marte, Starling",ground_ball,29,108.3,-3,93.8,1960,0.443,0.408,4
SI,8/25/2022,96.2,"Nido, Tomás",ground_ball,2,67.8,-49,96,2245,0.197,0.177,2
SI,8/23/2022,94.1,"Nimmo, Brandon",ground_ball,5,93.5,-23,93.9,2413,0.089,0.08,2
SI,8/23/2022,94.5,"McNeil, Jeff",line_drive,316,101.7,16,94.6,2385,0.529,0.566,4
KC,8/23/2022,84.3,"Vogelbach, Daniel",ground_ball,70,73,5,83.3,2994,0.183,0.165,2
