pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,9/15/2022,92.1,"Paredes, Isaac",line_drive,241,95.9,13,92.5,2008,0.92,0.892,4
FF,9/14/2022,86.9,"Aranda, Jonathan",ground_ball,4,90.1,-31,86.5,2223,0.089,0.089,2
SI,9/14/2022,95.8,"Aranda, Jonathan",line_drive,372,104.6,19,95.4,1942,0.549,0.686,6
SL,9/14/2022,87.4,"Paredes, Isaac",line_drive,348,98.6,20,87.2,2236,0.323,0.384,5
SI,9/14/2022,94.2,"Franco, Wander",line_drive,167,106.1,8,91.7,2265,0.689,0.664,4
SI,9/14/2022,86.4,"Bethancourt, Christian",ground_ball,6,93,-23,85.2,2306,0.089,0.08,2
FF,9/13/2022,92.8,"Siri, Jose",ground_ball,3,91.6,-33,93.3,2396,0.094,0.085,2
FF,9/13/2022,94.5,"Franco, Wander",ground_ball,12,94.4,-6,94.3,2266,0.249,0.249,2
FF,9/13/2022,87.2,"Paredes, Isaac",ground_ball,56,96.1,0,86.7,2067,0.377,0.346,2
SL,9/13/2022,82.1,"Arozarena, Randy",ground_ball,2,80.2,-39,81.5,2331,0.086,0.077,2
FF,9/13/2022,86.1,"Peralta, David",ground_ball,8,99.8,-22,85.6,2210,0.151,0.147,2
SI,9/13/2022,95.7,"Walls, Taylor",line_drive,311,86.8,26,94.6,2105,0.089,0.085,3
SL,9/13/2022,85.8,"Arozarena, Randy",ground_ball,6,99.3,-15,85.8,2022,0.171,0.154,2
SL,9/13/2022,88.5,"Díaz, Yandy",ground_ball,35,109.7,-2,89.9,2073,0.474,0.432,4
CH,9/12/2022,83.9,"Walls, Taylor",fly_ball,235,85.8,53,84.2,1572,0.011,0.01,3
SI,9/12/2022,93.7,"Franco, Wander",ground_ball,4,105.1,-24,93.4,2114,0.157,0.142,2
SI,9/12/2022,93.1,"Díaz, Yandy",ground_ball,22,91.5,-5,91.9,2325,0.166,0.149,2
