pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,9/21/2022,95.7,"Bradley Jr., Jackie",popup,142,89.4,70,94.8,2006,0.006,0.005,3
SL,9/21/2022,90.1,"Springer, George",ground_ball,3,58.1,-40,90,2427,0.131,0.118,1
SL,9/21/2022,87.3,"Bichette, Bo",ground_ball,34,101.1,-1,86.4,2367,0.4,0.376,4
CU,9/20/2022,86.5,"Springer, George",fly_ball,245,89.1,49,85.9,2506,0.009,0.008,3
CH,9/20/2022,89.3,"Biggio, Cavan",ground_ball,22,93.2,-4,89.7,1367,0.243,0.229,2
CH,9/20/2022,84,"Guerrero Jr., Vladimir",popup,173,102.8,61,85.2,2046,0.02,0.026,3
FF,9/20/2022,97,"Tapia, Raimel",line_drive,234,97.6,13,97.3,2266,0.891,0.845,4
FF,9/20/2022,96.8,"Hernández, Teoscar",line_drive,182,70.5,20,97.1,2007,0.874,0.817,4
SL,9/20/2022,79.9,"Bradley Jr., Jackie",fly_ball,377,101.4,38,78.7,2045,0.297,0.618,5
CH,9/20/2022,90.7,"Kirk, Alejandro",line_drive,223,102.7,10,90.7,1530,0.837,0.822,4
SI,9/20/2022,92.3,"Espinal, Santiago",line_drive,296,99.2,15,90.6,2275,0.717,0.697,4
SL,9/20/2022,80.5,"Kirk, Alejandro",line_drive,199,69.8,22,79.3,2324,0.926,0.885,4
CH,9/20/2022,84.2,"Tapia, Raimel",line_drive,125,94.3,8,85,2196,0.537,0.483,4
FS,9/18/2022,90.7,"Bichette, Bo",ground_ball,21,98.8,-4,90.8,1175,0.289,0.26,2
SL,9/18/2022,90,"Springer, George",fly_ball,403,103.7,24,89.7,2387,0.823,1.487,6
FC,9/17/2022,90.6,"Bichette, Bo",ground_ball,2,86,-36,91.5,2456,0.074,0.07,2
SL,9/16/2022,92,"Guerrero Jr., Vladimir",line_drive,274,93.4,17,92.6,2248,0.657,0.674,4
FF,9/16/2022,95.1,"Bradley Jr., Jackie",popup,28,88.7,80,94.8,2062,0.014,0.016,3
SL,9/15/2022,81.9,"Springer, George",fly_ball,225,75.8,48,82.4,2806,0.086,0.077,3
FF,9/15/2022,93.8,"Bradley Jr., Jackie",ground_ball,13,86.7,-12,94.7,2722,0.14,0.13,2
SI,9/14/2022,91.7,"Tapia, Raimel",ground_ball,2,86.9,-40,91.2,1806,0.074,0.067,2
CH,9/14/2022,82.1,"Chapman, Matt",ground_ball,11,94.4,-11,81.9,1769,0.157,0.141,2
CH,9/14/2022,80.6,"Guerrero Jr., Vladimir",ground_ball,3,74.2,-28,81,1619,0.051,0.056,2
FF,9/13/2022,95,"Chapman, Matt",ground_ball,149,107,6,95.4,2250,0.603,0.554,4
SI,9/13/2022,96.5,"Hernández, Teoscar",ground_ball,10,64.2,-16,96.4,2219,0.04,0.036,2
SI,9/13/2022,95.2,"Kirk, Alejandro",ground_ball,21,92.4,-7,95.1,2050,0.169,0.152,2
SI,9/13/2022,95.8,"Bichette, Bo",ground_ball,7,106.2,-17,96.2,2108,0.214,0.193,2
FF,9/13/2022,99,"Bichette, Bo",ground_ball,8,79.5,-19,99.3,2432,0.049,0.044,2
FC,9/13/2022,94.4,"Springer, George",ground_ball,37,100.4,-2,94.7,2341,0.351,0.326,2
CH,9/13/2022,83.3,"Chapman, Matt",fly_ball,284,95.3,47,81.9,2038,0.003,0.003,3
CU,9/13/2022,83.8,"Springer, George",fly_ball,363,97.2,29,83.8,2297,0.309,0.53,5
FF,9/13/2022,91.1,"Merrifield, Whit",ground_ball,11,92.4,-13,92.8,2155,0.137,0.123,2
CH,9/13/2022,83,"Espinal, Santiago",fly_ball,377,96,26,81.1,2042,0.254,0.347,5
FF,9/13/2022,93.2,"Hernández, Teoscar",line_drive,298,110.3,14,91.9,2138,0.763,0.842,6
FF,9/13/2022,100.3,"Jansen, Danny",ground_ball,70,104.6,2,100.1,2572,0.503,0.472,4
FF,9/12/2022,94,"Jansen, Danny",ground_ball,9,98.2,-12,95.5,2203,0.214,0.199,2
SL,9/12/2022,80.2,"Bichette, Bo",fly_ball,394,99,31,80,2921,0.4,0.762,6
CH,9/12/2022,90.7,"Springer, George",ground_ball,17,68,-9,90.6,2003,0.074,0.067,2
