pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SI,9/16/2022,93.4,"Dickerson, Corey",ground_ball,46,82.1,0,92.9,2207,0.2,0.183,2
FF,9/15/2022,96.4,"Dickerson, Corey",ground_ball,1,49.7,-71,99.3,2567,0.2,0.18,1
FF,9/15/2022,96.2,"Pujols, Albert",fly_ball,307,89.7,29,98.5,2603,0.083,0.111,3
FF,9/15/2022,96.2,"Arenado, Nolan",popup,211,68.9,43,98.6,2615,0.357,0.35,3
FF,9/15/2022,96.4,"Goldschmidt, Paul",fly_ball,234,99.2,52,99.3,2544,0.011,0.018,3
FC,9/14/2022,94.5,"Dickerson, Corey",ground_ball,3,85.7,-19,95.4,2653,0.106,0.108,2
FC,9/14/2022,95.1,"Edman, Tommy",line_drive,305,85.5,28,95.7,2542,0.089,0.1,3
FF,9/14/2022,93.1,"Pujols, Albert",line_drive,339,103.9,16,92.3,2360,0.54,0.594,5
FF,9/14/2022,93.5,"Arenado, Nolan",line_drive,279,81.5,25,92.3,2428,0.283,0.276,3
SI,9/14/2022,88,"Molina, Yadier",ground_ball,32,67.8,-1,88.6,2178,0.12,0.114,2
SI,9/13/2022,92.8,"Pujols, Albert",popup,98,84.2,70,91.5,2070,0.006,0.005,3
FC,9/11/2022,93.7,"Donovan, Brendan",ground_ball,11,100.6,-12,94.3,2096,0.223,0.201,2
FF,9/11/2022,93.4,"Pujols, Albert",fly_ball,403,105.5,25,92.9,2502,0.889,1.706,6
FF,9/11/2022,94.2,"Dickerson, Corey",line_drive,281,106.8,15,94.1,2494,0.637,0.702,5
CH,9/10/2022,86.1,"O'Neill, Tyler",fly_ball,319,100,44,86.6,1617,0.046,0.076,3
SI,9/10/2022,95.4,"Arenado, Nolan",line_drive,205,101.2,12,95.8,2469,0.917,0.903,4
CH,9/10/2022,87.7,"Dickerson, Corey",ground_ball,4,99.5,-10,87.7,1746,0.251,0.238,2
SL,9/10/2022,87,"Donovan, Brendan",ground_ball,62,97.4,2,87.5,2828,0.454,0.428,4
FF,9/10/2022,97.6,"Pujols, Albert",ground_ball,54,101.3,-1,97,2429,0.4,0.376,4
SI,9/10/2022,96.2,"DeJong, Paul",fly_ball,198,67.7,42,96.6,2356,0.423,0.413,3
SL,9/9/2022,85,"Pujols, Albert",ground_ball,88,78,6,84.6,2376,0.317,0.313,2
FF,9/9/2022,93.2,"Edman, Tommy",fly_ball,281,80.9,31,92.8,2555,0.071,0.075,3
FF,9/8/2022,94.9,"Pujols, Albert",ground_ball,57,105.4,1,95.8,2072,0.44,0.396,4
FF,9/8/2022,89.6,"DeJong, Paul",ground_ball,7,74.2,-15,88.9,1975,0.057,0.053,2
FF,9/8/2022,94.4,"Burleson, Alec",line_drive,323,90.9,23,95.8,2507,0.171,0.179,3
FF,9/8/2022,94.5,"Edman, Tommy",ground_ball,55,102.9,0,93.8,2134,0.469,0.441,4
FF,9/8/2022,93.9,"Pujols, Albert",popup,163,78.7,61,94.9,2684,0.029,0.029,3
FF,9/8/2022,95.7,"Dickerson, Corey",ground_ball,83,78.4,5,97.3,2478,0.271,0.253,2
SI,9/7/2022,97.7,"Edman, Tommy",line_drive,339,97.8,22,98.3,2086,0.26,0.292,5
SI,9/7/2022,96.5,"Molina, Yadier",line_drive,226,87.7,14,97.2,1782,0.946,0.904,4
SI,9/7/2022,97.7,"Dickerson, Corey",ground_ball,3,85.3,-40,98.6,1937,0.077,0.07,2
SI,9/7/2022,98.7,"Arenado, Nolan",line_drive,266,88.1,24,99,2264,0.183,0.202,3
FF,9/6/2022,92.4,"Carlson, Dylan",line_drive,326,95.4,23,91.8,2012,0.18,0.228,3
FF,9/6/2022,93.2,"Arenado, Nolan",fly_ball,330,98,39,92.8,2081,0.111,0.208,3
SI,9/5/2022,96,"O'Neill, Tyler",fly_ball,281,80,31,96.9,2192,0.089,0.088,3
SI,9/5/2022,96.4,"Nootbaar, Lars",ground_ball,9,91.8,-9,97.3,2233,0.206,0.213,2
FF,9/4/2022,94.2,"Pujols, Albert",fly_ball,429,105.7,32,93.7,2388,0.806,1.66,6
CH,9/3/2022,85,"Nootbaar, Lars",ground_ball,12,59.2,-11,85.1,1434,0.089,0.092,1
SL,9/3/2022,81,"Carlson, Dylan",fly_ball,378,101.5,25,80.9,2442,0.649,1.08,6
FF,9/2/2022,94.2,"Pujols, Albert",ground_ball,2,83.8,-41,93.2,2513,0.066,0.059,2
FC,9/2/2022,87.1,"Edman, Tommy",line_drive,381,104.6,20,86.8,2535,0.643,0.919,6
FF,9/2/2022,92.8,"Molina, Yadier",line_drive,252,99.7,16,92.2,2355,0.571,0.59,4
FC,9/2/2022,90.6,"Arenado, Nolan",line_drive,288,106.1,16,90.1,2712,0.571,0.641,5
FF,9/2/2022,95,"Goldschmidt, Paul",popup,76,81.8,74,94.4,2299,0.011,0.014,3
FF,9/2/2022,94,"Nootbaar, Lars",fly_ball,412,104,32,93.4,2329,0.709,1.442,6
FC,9/2/2022,88.3,"Edman, Tommy",fly_ball,338,91.7,36,88,2538,0.043,0.058,3
CH,8/31/2022,85.7,"O'Neill, Tyler",ground_ball,73,99.2,4,85.8,1963,0.557,0.532,4
FF,8/31/2022,92.2,"Pujols, Albert",fly_ball,295,85.5,33,92.8,2212,0.02,0.022,3
SL,8/31/2022,86.3,"Edman, Tommy",ground_ball,7,93.5,-16,88.4,2827,0.174,0.176,2
FC,8/31/2022,93.2,"Nootbaar, Lars",fly_ball,382,106.5,38,93.2,2443,0.526,1.068,6
FF,8/31/2022,95.7,"Donovan, Brendan",fly_ball,298,80.6,31,98.4,2710,0.071,0.075,3
SI,8/31/2022,92.5,"Arenado, Nolan",ground_ball,12,80.5,-12,91.5,2222,0.109,0.1,2
SL,8/31/2022,86.5,"Molina, Yadier",popup,193,64.7,45,88.5,2609,0.303,0.285,3
SI,8/31/2022,95.1,"Goldschmidt, Paul",ground_ball,3,61.1,-30,95.6,2065,0.049,0.044,2
CU,8/31/2022,79.6,"Gorman, Nolan",fly_ball,322,100.1,46,80.4,2234,0.029,0.051,3
FF,8/31/2022,91.1,"Edman, Tommy",line_drive,164,82.5,12,91.5,2307,0.566,0.513,4
FF,8/31/2022,95.1,"Goldschmidt, Paul",ground_ball,5,86,-25,95,2506,0.066,0.059,2
SL,8/31/2022,83,"Donovan, Brendan",ground_ball,3,75.9,-31,83.3,2671,0.057,0.056,2
SI,8/31/2022,95.3,"Pujols, Albert",line_drive,350,100.2,19,95,2301,0.369,0.436,5
CU,8/31/2022,81,"Arenado, Nolan",ground_ball,36,95.9,0,80.2,2306,0.377,0.346,2
FC,8/31/2022,90.1,"Edman, Tommy",popup,146,70.6,60,90.5,2207,0.029,0.026,3
SL,8/30/2022,87.3,"Arenado, Nolan",line_drive,324,90.6,21,90,2842,0.26,0.255,3
FF,8/28/2022,97.1,"O'Neill, Tyler",fly_ball,423,101.7,30,97.4,2416,0.634,1.242,6
FC,8/28/2022,89.5,"Donovan, Brendan",ground_ball,6,37,-24,89.9,2588,0.246,0.249,1
SL,8/28/2022,81.2,"Molina, Yadier",ground_ball,2,71.1,-31,82.1,2697,0.054,0.05,2
CH,8/27/2022,90.5,"Dickerson, Corey",ground_ball,21,91.3,-3,90.4,1933,0.214,0.193,2
FC,8/27/2022,91.9,"Dickerson, Corey",ground_ball,2,76.7,-57,92.7,2547,0.246,0.235,2
FF,8/27/2022,95.6,"Edman, Tommy",fly_ball,248,93.3,50,95.3,2460,0.003,0.003,3
FF,8/27/2022,96.2,"Pujols, Albert",line_drive,178,109.1,9,96.2,2514,0.811,0.798,4
FF,8/26/2022,94.9,"Donovan, Brendan",line_drive,105,90.4,6,94.6,2114,0.446,0.401,4
FF,8/26/2022,96,"Pujols, Albert",popup,96,87.5,75,95.5,2433,0.003,0.003,3
CH,8/26/2022,85.8,"Nootbaar, Lars",line_drive,188,101,8,85.4,1333,0.686,0.633,4
FF,8/26/2022,93.6,"Edman, Tommy",ground_ball,19,94.6,-7,92.9,1987,0.226,0.206,2
FF,8/26/2022,93.1,"Carlson, Dylan",fly_ball,205,76.9,56,92.9,2528,0.083,0.099,3
FF,8/26/2022,94.6,"Yepez, Juan",fly_ball,261,81.4,41,94.3,2516,0.034,0.046,3
FF,8/26/2022,93.9,"O'Neill, Tyler",fly_ball,406,105,37,93.3,2076,0.577,1.191,6
FF,8/25/2022,91.6,"Goldschmidt, Paul",fly_ball,428,108.5,23,93.2,2411,0.926,1.751,6
FF,8/24/2022,91.9,"Edman, Tommy",ground_ball,5,108.9,-29,93.5,2320,0.117,0.105,2
FF,8/24/2022,92,"Pujols, Albert",fly_ball,181,90.5,61,93.3,2257,0.006,0.006,3
FF,8/23/2022,93.3,"Dickerson, Corey",line_drive,291,103.8,12,93.1,1959,0.889,0.893,4
SI,8/23/2022,94.4,"Molina, Yadier",line_drive,314,85.3,27,95.2,2034,0.106,0.114,3
SL,8/23/2022,80.7,"Carlson, Dylan",line_drive,315,90.3,23,81.9,2197,0.226,0.255,3
FF,8/23/2022,94.8,"Arenado, Nolan",popup,95,84.6,67,95.7,2295,0.003,0.003,3
FF,8/23/2022,89.9,"Edman, Tommy",fly_ball,357,97.9,30,90.7,2101,0.349,0.621,6
SI,8/23/2022,92.9,"Goldschmidt, Paul",line_drive,210,91.8,13,93.9,1998,0.911,0.879,4
CH,8/23/2022,85.6,"Goldschmidt, Paul",ground_ball,8,87.3,-21,84.6,2094,0.114,0.12,2
FF,8/22/2022,90.7,"Pujols, Albert",ground_ball,9,92.9,-14,92.2,2322,0.163,0.15,2
CH,8/21/2022,84,"Edman, Tommy",ground_ball,99,86.4,6,82.7,1982,0.42,0.394,4
FF,8/21/2022,94.2,"Carlson, Dylan",fly_ball,317,88.5,27,94.8,2529,0.1,0.128,3
CH,8/21/2022,82.4,"Pujols, Albert",ground_ball,92,90.7,5,82.2,1841,0.429,0.403,4
FF,8/21/2022,98.9,"Arenado, Nolan",ground_ball,50,97.9,0,99.2,2295,0.397,0.376,4
SI,8/21/2022,90.3,"Nootbaar, Lars",ground_ball,13,94.6,-10,90.3,2174,0.209,0.206,2
FF,8/21/2022,96.2,"Goldschmidt, Paul",line_drive,323,96.7,20,95.4,2378,0.277,0.317,4
SI,8/20/2022,93.9,"Goldschmidt, Paul",line_drive,383,103.5,21,93.1,2390,0.634,0.884,6
SI,8/20/2022,92.9,"O'Neill, Tyler",line_drive,114,95.5,5,92.1,2352,0.477,0.461,4
CH,8/20/2022,86.3,"Carlson, Dylan",ground_ball,6,59.7,-27,85.8,2033,0.049,0.044,2
CH,8/20/2022,84.8,"Arenado, Nolan",fly_ball,268,80.7,39,84.6,1535,0.02,0.018,3
SI,8/20/2022,91.1,"Carlson, Dylan",line_drive,263,86.9,19,90.5,2140,0.674,0.651,4
CH,8/20/2022,83.6,"Goldschmidt, Paul",fly_ball,226,90.3,57,83.5,1443,0.009,0.008,3
FC,8/20/2022,89.7,"Gorman, Nolan",fly_ball,233,72.8,25,89.3,2281,0.889,0.846,4
FC,8/20/2022,90.7,"Arenado, Nolan",line_drive,390,101.8,20,90.7,2274,0.483,0.627,5
SI,8/20/2022,90.8,"DeJong, Paul",fly_ball,397,101.2,37,89.7,2352,0.323,0.639,5
FF,8/19/2022,96.5,"Arenado, Nolan",line_drive,272,102.6,14,97.5,2235,0.766,0.813,4
FF,8/19/2022,97.6,"Goldschmidt, Paul",ground_ball,16,99,-8,97.9,2394,0.286,0.283,2
SL,8/19/2022,85.1,"O'Neill, Tyler",popup,34,77.6,86,85.5,2146,0.011,0.011,3
FF,8/19/2022,94.3,"Carlson, Dylan",fly_ball,208,75.6,56,94.8,2130,0.091,0.111,3
FF,8/19/2022,91.7,"Arenado, Nolan",line_drive,340,97.7,22,91.9,2124,0.26,0.292,5
SI,8/18/2022,94.6,"Carlson, Dylan",ground_ball,62,99.6,2,93.6,1988,0.443,0.399,4
SI,8/18/2022,95,"O'Neill, Tyler",ground_ball,116,107.4,6,94.5,1961,0.603,0.554,4
SI,8/18/2022,95.1,"Pujols, Albert",line_drive,158,90.8,9,94.2,1991,0.586,0.531,4
CH,8/18/2022,87.9,"Edman, Tommy",ground_ball,7,74,-15,87.4,1723,0.057,0.053,2
SI,8/17/2022,94.5,"Donovan, Brendan",line_drive,154,85,10,93.5,2236,0.503,0.454,4
FC,8/17/2022,92.7,"Gorman, Nolan",line_drive,242,96.8,18,92.2,2521,0.403,0.427,4
SL,8/17/2022,82.7,"Carlson, Dylan",ground_ball,17,89,-5,81.9,2910,0.174,0.168,2
SI,8/17/2022,96.1,"Arenado, Nolan",line_drive,133,102.4,8,94.9,1991,0.689,0.632,4
FC,8/17/2022,91.3,"Donovan, Brendan",line_drive,331,96.4,23,90.7,2345,0.186,0.218,5
SI,8/17/2022,95.6,"Dickerson, Corey",ground_ball,32,95.6,-4,94.5,2317,0.314,0.317,2
FF,8/16/2022,96.1,"Carlson, Dylan",ground_ball,1,45.7,-72,95.7,2402,0.174,0.157,1
SL,8/16/2022,83,"Carlson, Dylan",ground_ball,137,98.3,7,82.8,2526,0.626,0.589,4
FF,8/16/2022,98.8,"Arenado, Nolan",fly_ball,262,82.1,41,98.5,2270,0.029,0.036,3
