pitch_type,game_date,release_speed,release_pos_x,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
CH,9/3/2022,82.6,3.01,"Grissom, Vaughn",ground_ball,33,83.3,-1,83.6,1637,0.194,0.179,2
SI,9/3/2022,90.4,3.03,"Harris II, Michael",ground_ball,6,82.9,-21,90.7,2082,0.051,0.046,2
FF,9/3/2022,93,-3.56,"Acuña Jr., Ronald",fly_ball,232,73.6,43,93.4,2152,0.197,0.214,3
FF,9/3/2022,94.5,3.05,"Olson, Matt",ground_ball,39,105.5,-1,94.7,2262,0.437,0.404,4
FF,9/2/2022,91.2,2.81,"Acuña Jr., Ronald",fly_ball,405,104.9,24,91.8,2171,0.869,1.63,6
CH,9/2/2022,83.8,-1.64,"Harris II, Michael",ground_ball,28,82,-2,84.8,1358,0.174,0.16,2
FF,9/2/2022,92.9,-1.36,"d'Arnaud, Travis",fly_ball,409,104,32,93.8,2319,0.709,1.442,6
FF,9/2/2022,92,-1.4,"Olson, Matt",ground_ball,10,103.7,-14,93.6,2230,0.234,0.211,2
CH,9/2/2022,83.7,-1.58,"Riley, Austin",fly_ball,380,102.6,43,84.9,1367,0.154,0.302,5
FF,9/2/2022,90.3,2.94,"Ozuna, Marcell",line_drive,162,82.6,13,91.2,2014,0.726,0.685,4
SL,9/1/2022,84.1,-1.81,"Rosario, Eddie",ground_ball,109,76.3,9,83.2,2409,0.329,0.309,2
SI,9/1/2022,95.4,-1.67,"Acuña Jr., Ronald",ground_ball,8,99.9,-15,94.6,2180,0.186,0.167,2
FC,8/31/2022,89.5,-1.05,"Rosario, Eddie",line_drive,339,94,23,90.2,2092,0.174,0.212,3
FC,8/31/2022,91.4,-1.32,"Grissom, Vaughn",ground_ball,37,68.2,2,91.3,2174,0.137,0.126,2
SI,8/31/2022,94.4,-2.37,"Riley, Austin",ground_ball,28,106.1,-2,93.9,1788,0.44,0.418,4
SI,8/30/2022,97.3,-2.98,"Olson, Matt",ground_ball,4,109.2,-22,96.7,2370,0.174,0.157,2
SL,8/30/2022,83.5,-3.04,"Riley, Austin",ground_ball,6,80.9,-21,83.4,2927,0.034,0.031,2
SL,8/30/2022,83.4,-3.18,"Harris II, Michael",line_drive,199,75.9,17,83.1,2930,0.84,0.789,4
SL,8/30/2022,82.8,-3.07,"Swanson, Dansby",fly_ball,336,97.2,44,82.5,2756,0.02,0.026,3
SI,8/30/2022,97.3,-1.6,"Harris II, Michael",ground_ball,3,79.4,-36,96.9,2310,0.086,0.088,2
SI,8/28/2022,89.5,-1.02,"Grossman, Robbie",ground_ball,67,76.7,4,90.2,2324,0.231,0.216,2
CU,8/28/2022,74.3,-0.81,"Harris II, Michael",line_drive,236,99.7,14,74,2798,0.789,0.78,4
FC,8/28/2022,83.6,-0.92,"Grissom, Vaughn",ground_ball,3,56,-23,84.1,2488,0.08,0.084,1
FC,8/28/2022,83.8,-1.07,"Rosario, Eddie",line_drive,270,97,18,84.6,2367,0.403,0.427,4
SL,8/28/2022,85.1,-1.7,"Grossman, Robbie",line_drive,292,91,19,84.9,2500,0.46,0.456,4
FF,8/28/2022,94.4,-1.61,"Harris II, Michael",line_drive,331,105.2,17,93.2,2280,0.517,0.603,5
FF,8/28/2022,101.5,-0.3,"Olson, Matt",fly_ball,270,85.9,45,102.6,2676,0.003,0.003,3
FF,8/28/2022,100.1,-0.2,"Swanson, Dansby",fly_ball,418,105.3,27,101.1,2663,0.889,1.783,6
FF,8/28/2022,94.4,-1.45,"Grissom, Vaughn",fly_ball,247,100.5,59,93.5,2366,0.017,0.022,3
FF,8/28/2022,93.5,-1.61,"Rosario, Eddie",ground_ball,4,70.1,-30,92.5,2131,0.057,0.06,2
SI,8/27/2022,101,-1.71,"Grissom, Vaughn",ground_ball,37,72.8,0,101.9,1947,0.106,0.095,2
SI,8/27/2022,97.6,-1.84,"d'Arnaud, Travis",line_drive,271,78.8,25,98.6,1859,0.483,0.451,4
SI,8/27/2022,98.5,-1.82,"Riley, Austin",ground_ball,87,70.9,6,99.7,2043,0.166,0.149,2
SI,8/27/2022,100.7,-1.81,"Olson, Matt",ground_ball,3,91.5,-19,101.7,2039,0.097,0.087,2
SI,8/27/2022,99.3,-1.59,"Rosario, Eddie",fly_ball,389,100.3,28,100.3,1942,0.571,1.053,6
FF,8/27/2022,101,-0.48,"Grossman, Robbie",fly_ball,253,73.9,40,101.7,2764,0.226,0.22,3
CH,8/26/2022,90,-1.73,"Grissom, Vaughn",fly_ball,203,83.4,51,90.9,2226,0.031,0.043,3
SL,8/26/2022,84.8,-1.82,"Contreras, William",ground_ball,127,102.7,7,85.1,2796,0.64,0.586,4
FF,8/26/2022,95.8,1.37,"Harris II, Michael",line_drive,259,111.9,10,95,2377,0.854,0.875,5
CU,8/26/2022,81.7,1.5,"Grissom, Vaughn",fly_ball,225,84.4,50,81.6,2482,0.02,0.027,3
FF,8/26/2022,95.1,1.22,"Contreras, William",ground_ball,21,91.1,-5,94.5,2374,0.166,0.149,2
FF,8/26/2022,94.7,1.1,"d'Arnaud, Travis",line_drive,344,101.2,21,94.4,2239,0.454,0.604,5
CU,8/26/2022,80.9,1.51,"Olson, Matt",ground_ball,119,105.6,6,80.3,2413,0.609,0.587,4
EP,8/26/2022,65.3,-1.44,"Swanson, Dansby",line_drive,337,100.1,21,64.1,1760,0.377,0.492,5
SI,8/26/2022,95.4,1.37,"Swanson, Dansby",ground_ball,7,64.9,-13,95.4,2270,0.057,0.052,2
CU,8/26/2022,80.5,1.32,"Acuña Jr., Ronald",ground_ball,6,82,-11,80.7,2330,0.114,0.105,2
FA,8/26/2022,70.9,-1.48,"Acuña Jr., Ronald",line_drive,253,86.6,19,69,1900,0.674,0.651,4
SI,8/26/2022,95.9,1.33,"Grossman, Robbie",line_drive,157,78.7,16,95.7,2309,0.843,0.802,4
SI,8/26/2022,93.5,-1.72,"Acuña Jr., Ronald",ground_ball,3,95.2,-30,93.7,2536,0.111,0.113,2
SL,8/26/2022,77.4,-1.49,"Grossman, Robbie",ground_ball,4,84.3,-32,75.3,2095,0.054,0.05,2
SL,8/24/2022,76.6,1.97,"Heredia, Guillermo",popup,59,70,80,76,2671,0.006,0.005,3
CH,8/24/2022,86.8,1.98,"Grossman, Robbie",ground_ball,85,92.9,5,87,1422,0.437,0.404,4
FF,8/24/2022,93.1,2.9,"Grissom, Vaughn",ground_ball,85,94,4,92.2,2352,0.426,0.4,4
SI,8/24/2022,97.8,-1.38,"Swanson, Dansby",line_drive,280,106.7,17,97.5,2280,0.591,0.706,6
CH,8/24/2022,87.2,-2.33,"Olson, Matt",line_drive,228,103,13,88.3,1827,0.88,0.899,4
SL,8/24/2022,83.1,-1.46,"Acuña Jr., Ronald",ground_ball,103,83,9,83.3,2505,0.446,0.408,4
SL,8/24/2022,87.8,-2.34,"Riley, Austin",ground_ball,3,71.6,-33,88.3,2889,0.074,0.077,2
SL,8/24/2022,76.7,2.03,"Contreras, William",line_drive,169,106.3,9,76.1,2654,0.78,0.784,4
SI,8/24/2022,94.9,-1.79,"Grossman, Robbie",line_drive,134,76.8,13,94.7,2122,0.471,0.424,4
FF,8/24/2022,92,3.11,"Olson, Matt",ground_ball,39,105.3,-2,91.4,2259,0.4,0.36,4
FF,8/24/2022,92.2,3.3,"Riley, Austin",fly_ball,307,97,48,91.2,2185,0.006,0.01,3
CH,8/24/2022,86.9,-2.48,"Adrianza, Ehire",fly_ball,299,98.3,48,87.2,1865,0.006,0.007,3
SL,8/24/2022,78.1,1.91,"Olson, Matt",fly_ball,420,112.7,35,77.9,2761,0.84,1.749,6
SL,8/23/2022,85.6,-2.08,"Swanson, Dansby",fly_ball,224,65.2,34,85.2,2606,0.737,0.689,4
SI,8/23/2022,91,-2.11,"Acuña Jr., Ronald",ground_ball,2,92.4,-32,89.9,2288,0.1,0.097,2
SI,8/23/2022,92.3,-2.2,"Grossman, Robbie",fly_ball,355,95.4,32,91.4,2312,0.134,0.233,3
SL,8/23/2022,86,-2.15,"Grissom, Vaughn",line_drive,207,86.7,14,85.1,2666,0.931,0.872,4
CU,8/23/2022,76.8,-1.13,"Grissom, Vaughn",ground_ball,7,84.1,-17,75.8,2683,0.097,0.094,2
SL,8/23/2022,84.4,-1.06,"Contreras, William",ground_ball,41,101,-1,84.5,2488,0.4,0.376,4
FF,8/23/2022,92.5,-0.91,"Olson, Matt",popup,111,94.5,73,91.9,2454,0.014,0.014,3
CU,8/23/2022,77.7,-1.23,"Riley, Austin",ground_ball,16,95.3,-7,76.8,2581,0.226,0.206,2
FF,8/22/2022,94.7,-0.9,"Grossman, Robbie",popup,205,94.1,63,94.4,2395,0.006,0.005,3
CU,8/22/2022,77.8,-0.78,"Rosario, Eddie",fly_ball,316,87.8,37,77.7,2682,0.011,0.012,3
CH,8/22/2022,86.5,-1.88,"Riley, Austin",ground_ball,1,64,-69,86.6,1532,0.24,0.216,2
FC,8/22/2022,91.9,-1.83,"Swanson, Dansby",fly_ball,264,93.9,50,91.9,2129,0.003,0.003,3
SL,8/22/2022,87.5,-2.25,"d'Arnaud, Travis",ground_ball,13,101.3,-9,88.1,2817,0.263,0.237,2
SI,8/22/2022,94.3,-1.86,"Acuña Jr., Ronald",ground_ball,72,82,4,94.5,2126,0.269,0.242,2
FF,8/22/2022,95.5,-2.05,"Olson, Matt",line_drive,332,100.8,19,95.8,2494,0.38,0.436,5
FF,8/21/2022,95.6,-1.03,"Rosario, Eddie",ground_ball,10,62.3,-18,94.8,2341,0.043,0.039,2
CU,8/21/2022,78.3,-1.71,"Harris II, Michael",ground_ball,6,93.6,-23,77.6,2577,0.089,0.08,2
FF,8/21/2022,93.8,-1.64,"Grissom, Vaughn",line_drive,237,97.3,14,93.3,2256,0.9,0.897,4
CH,8/21/2022,86.1,-1.68,"d'Arnaud, Travis",ground_ball,9,80.3,-9,86,1949,0.103,0.094,2
SL,8/21/2022,92.7,-0.17,"Grissom, Vaughn",ground_ball,6,65.3,-19,93.4,2675,0.046,0.042,2
SI,8/21/2022,95.1,-1.32,"Swanson, Dansby",ground_ball,1,79,-54,95.6,2280,0.209,0.194,2
SL,8/21/2022,91.5,-0.24,"d'Arnaud, Travis",fly_ball,348,97.2,28,91.7,2721,0.314,0.511,5
SL,8/21/2022,91.3,-0.38,"Olson, Matt",line_drive,276,106.1,10,91.9,2739,0.82,0.81,4
CU,8/21/2022,82.8,-0.31,"Riley, Austin",ground_ball,92,78.9,8,82.2,3265,0.346,0.322,2
SI,8/20/2022,96.6,-1.48,"Riley, Austin",ground_ball,26,74.2,-2,96.6,2090,0.094,0.085,2
SL,8/20/2022,88.5,-1.44,"Swanson, Dansby",popup,216,78.8,55,88.6,2395,0.066,0.076,3
SL,8/20/2022,86.8,-1.76,"Swanson, Dansby",fly_ball,345,93.3,40,86.6,1922,0.023,0.023,3
SL,8/20/2022,87,-2.61,"Harris II, Michael",ground_ball,64,101.3,2,87.1,3000,0.486,0.45,4
SL,8/20/2022,90.6,-0.18,"Rosario, Eddie",ground_ball,6,96.4,-16,91.2,2836,0.194,0.197,2
FF,8/20/2022,99,-0.45,"d'Arnaud, Travis",ground_ball,5,95.3,-19,98.2,2346,0.134,0.126,2
FS,8/20/2022,85,-1.34,"Grossman, Robbie",ground_ball,139,83.8,11,84.7,964,0.549,0.503,4
SL,8/20/2022,85.3,-0.76,"Olson, Matt",ground_ball,29,70.3,0,85.4,2528,0.126,0.12,2
SL,8/20/2022,91.3,-0.09,"Contreras, William",fly_ball,213,79.5,53,92,2826,0.06,0.066,3
FF,8/20/2022,97,-2.41,"Grissom, Vaughn",ground_ball,142,105.8,6,97.7,2604,0.609,0.587,4
SL,8/20/2022,91.5,-0.48,"Olson, Matt",fly_ball,347,99,26,92.2,2714,0.463,0.718,6
FS,8/20/2022,83.7,-1.7,"Harris II, Michael",line_drive,364,112.8,17,83.5,986,0.774,1.075,6
SI,8/20/2022,94.2,-2,"Grissom, Vaughn",ground_ball,14,73,-11,94.5,2104,0.063,0.057,2
SL,8/20/2022,88,-2.58,"Contreras, William",ground_ball,18,97.7,-5,88.3,2934,0.274,0.247,2
FS,8/19/2022,84.3,-1.26,"Olson, Matt",line_drive,161,106,9,84.6,935,0.78,0.784,4
SL,8/19/2022,82.4,1.85,"Harris II, Michael",ground_ball,1,50.9,-73,83.1,2280,0.197,0.177,1
FF,8/19/2022,91.5,1.59,"Grissom, Vaughn",fly_ball,366,101,41,91.9,2272,0.14,0.255,3
FF,8/19/2022,92,1.47,"Rosario, Eddie",line_drive,141,104.8,8,91.9,2387,0.691,0.665,4
SI,8/19/2022,93.6,-2.02,"Acuña Jr., Ronald",ground_ball,39,76.8,0,94.1,2325,0.126,0.113,2
SL,8/18/2022,93.5,-1.32,"Grissom, Vaughn",ground_ball,6,86.7,-13,94.5,2536,0.111,0.1,2
FF,8/18/2022,99.9,-1.54,"Rosario, Eddie",fly_ball,306,88.4,39,100.8,2502,0.011,0.016,3
SL,8/18/2022,91.9,-1.51,"d'Arnaud, Travis",ground_ball,63,94.6,1,92.7,2483,0.414,0.397,2
CU,8/18/2022,82,-1.11,"Grossman, Robbie",ground_ball,74,94.4,4,80.6,3383,0.426,0.4,4
FF,8/18/2022,94.6,-1.01,"Harris II, Michael",ground_ball,12,90.3,-12,94,2285,0.146,0.144,2
SL,8/17/2022,83.5,-3.26,"Contreras, William",ground_ball,2,71.5,-49,83.5,2287,0.166,0.149,2
SL,8/17/2022,83,-1.14,"Acuña Jr., Ronald",fly_ball,366,100.2,24,84.5,2648,0.497,0.745,6
CH,8/17/2022,87.3,-0.9,"Grissom, Vaughn",line_drive,229,86.1,19,88.9,1611,0.703,0.68,4
FF,8/17/2022,95.9,-1.34,"Harris II, Michael",fly_ball,387,102.1,29,97.1,2374,0.631,1.208,6
SI,8/17/2022,94.5,-2.64,"Grossman, Robbie",fly_ball,366,100.5,38,95.3,2187,0.297,0.618,5
FF,8/17/2022,96.7,-1.08,"Contreras, William",line_drive,278,107,14,98.2,2461,0.717,0.773,5
SL,8/17/2022,91.9,-2.02,"Riley, Austin",fly_ball,245,77.8,44,93.7,2378,0.054,0.049,3
SI,8/17/2022,95.3,-2.52,"Grissom, Vaughn",ground_ball,11,76.6,-9,96.4,2236,0.089,0.084,2
SL,8/16/2022,79.7,-2.83,"Swanson, Dansby",line_drive,267,87.6,19,79.7,2401,0.663,0.656,4
CH,8/16/2022,86.3,-2.66,"Grossman, Robbie",popup,128,69.8,69,86.7,1624,0,0,3
CU,8/16/2022,79.4,-1.05,"Harris II, Michael",ground_ball,20,81.6,-3,78.1,3304,0.177,0.177,2
FF,8/16/2022,94.6,-0.71,"Grissom, Vaughn",popup,118,46.8,42,94,2264,0.146,0.131,1
FF,8/16/2022,91.6,-0.88,"Contreras, William",line_drive,344,102,23,91.1,2088,0.651,1.012,6
CU,8/16/2022,78.9,-1.1,"Olson, Matt",line_drive,177,101.4,8,78.2,3179,0.686,0.633,4
SL,8/16/2022,87.2,-1.03,"Riley, Austin",ground_ball,14,59.4,-6,87.2,2445,0.106,0.102,1
EP,8/15/2022,64.3,-2.63,"d'Arnaud, Travis",popup,198,90.1,62,63.5,1567,0.003,0.003,3
EP,8/15/2022,60.5,-2.2,"Grossman, Robbie",ground_ball,7,79.3,-14,59.8,1558,0.097,0.103,2
EP,8/15/2022,61.1,-2.38,"Contreras, William",line_drive,378,103.2,21,60.5,1562,0.626,0.884,6
EP,8/15/2022,58.7,-2.2,"Olson, Matt",fly_ball,351,96.6,29,57.7,1453,0.309,0.53,5
EP,8/15/2022,59.6,-2.4,"Riley, Austin",fly_ball,346,96.5,22,58.9,1526,0.231,0.271,5
EP,8/15/2022,59.1,-2.06,"Swanson, Dansby",ground_ball,142,76.7,13,58.4,1481,0.471,0.424,4
EP,8/15/2022,60.2,-2.3,"Acuña Jr., Ronald",fly_ball,339,99.8,43,59.2,1463,0.069,0.127,3
SL,8/14/2022,90.1,2.73,"Rosario, Eddie",ground_ball,6,91,-16,90.4,2681,0.143,0.141,2
SL,8/14/2022,90.1,2.54,"Contreras, William",ground_ball,68,81.9,4,90.4,2651,0.269,0.242,2
SL,8/14/2022,84.4,-3.45,"Riley, Austin",line_drive,177,111.3,7,83.8,1939,0.763,0.749,4
SL,8/14/2022,80.5,3.22,"Rosario, Eddie",ground_ball,7,63.4,-13,80.5,2378,0.057,0.051,2
FF,8/14/2022,97.1,2.38,"Riley, Austin",fly_ball,258,74.9,38,97.1,2588,0.174,0.157,3
CH,8/14/2022,87.4,-3.56,"Harris II, Michael",line_drive,312,94.4,17,87.1,2010,0.583,0.575,4
SL,8/14/2022,91.1,2.52,"Swanson, Dansby",ground_ball,7,97.5,-13,91.5,2904,0.203,0.189,2
FF,8/14/2022,94.5,2.91,"Olson, Matt",ground_ball,26,109.5,-4,94.3,2268,0.437,0.399,4
FF,8/14/2022,99,2.39,"Harris II, Michael",fly_ball,419,111.2,26,98.7,2707,0.991,2.03,6
SL,8/13/2022,82.4,-2.44,"Contreras, William",ground_ball,7,67.9,-23,81.5,2789,0.037,0.033,2
SL,8/13/2022,81.2,-0.97,"Harris II, Michael",ground_ball,45,101,-1,81.6,2307,0.4,0.376,4
SI,8/13/2022,90,-1.03,"Grissom, Vaughn",ground_ball,43,83.6,0,89.6,2148,0.234,0.219,2
FC,8/13/2022,87.2,-1.66,"Olson, Matt",fly_ball,253,73.4,34,84.8,2369,0.417,0.392,3
CH,8/13/2022,83.8,2.98,"Acuña Jr., Ronald",ground_ball,5,87.8,-19,84.2,1555,0.1,0.091,2
SL,8/13/2022,82.9,-2.47,"Acuña Jr., Ronald",ground_ball,7,106.6,-15,82.2,2928,0.226,0.203,2
FC,8/13/2022,88.5,2.76,"Tromp, Chadwick",line_drive,279,96.7,20,88.9,2041,0.277,0.317,4
SI,8/13/2022,90,3.05,"Harris II, Michael",ground_ball,10,106,-15,90,2007,0.234,0.214,2
FC,8/13/2022,88.8,-2,"Swanson, Dansby",fly_ball,335,94.9,36,87,2272,0.114,0.22,3
FF,8/13/2022,92,-0.94,"Riley, Austin",popup,124,86.5,69,91.9,2096,0.006,0.005,3
CH,8/13/2022,82.9,2.89,"Grissom, Vaughn",ground_ball,1,58.1,-65,83.1,1618,0.246,0.223,1
FC,8/13/2022,86.7,2.96,"Grossman, Robbie",line_drive,171,67,21,87.1,2034,0.771,0.702,4
SI,8/13/2022,92.4,-3.3,"Swanson, Dansby",fly_ball,256,78.1,30,91.8,2217,0.223,0.216,3
FF,8/13/2022,96.8,-1.92,"Acuña Jr., Ronald",line_drive,219,96,13,95.5,2275,0.92,0.892,4
SL,8/13/2022,88.2,-1.6,"Harris II, Michael",line_drive,305,107.4,15,86.9,2758,0.637,0.702,5
CH,8/12/2022,89.8,-1.64,"Ozuna, Marcell",ground_ball,101,81.4,6,88.4,1783,0.306,0.275,2
FF,8/12/2022,92.9,-1.17,"Riley, Austin",fly_ball,273,82.8,30,93.6,2270,0.066,0.075,3
FF,8/12/2022,92.3,-1.15,"Swanson, Dansby",fly_ball,186,93.2,62,92.7,2222,0,0,3
SI,8/12/2022,89.8,2.89,"Ozuna, Marcell",ground_ball,4,107.8,-19,90.1,2043,0.186,0.167,2
FC,8/12/2022,89.2,-1.9,"Rosario, Eddie",fly_ball,199,64.8,36,88.4,2331,0.671,0.623,4
FF,8/12/2022,93.5,-1.37,"Harris II, Michael",line_drive,364,111.2,21,93.7,2270,0.931,1.674,6
FC,8/12/2022,87.6,-1.76,"Contreras, William",ground_ball,54,68.1,3,86.2,2253,0.151,0.145,2
FC,8/12/2022,87,3.07,"Contreras, William",line_drive,186,101.3,8,87.3,2044,0.686,0.633,4
SL,8/12/2022,80.7,-1.27,"Grissom, Vaughn",line_drive,233,96.9,17,81,2095,0.52,0.562,4
SI,8/12/2022,90.2,2.97,"Olson, Matt",ground_ball,5,100.9,-17,90.7,2081,0.169,0.152,2
FF,8/10/2022,95.8,-2.61,"Riley, Austin",ground_ball,6,100.9,-19,95.1,2117,0.174,0.165,2
FF,8/10/2022,95.6,-1.37,"Ozuna, Marcell",fly_ball,341,89.8,29,96.3,2137,0.083,0.111,3
FF,8/10/2022,95.6,-2.89,"Swanson, Dansby",line_drive,146,102.7,5,95.7,2188,0.557,0.504,4
SI,8/10/2022,95.2,-1.36,"Rosario, Eddie",fly_ball,361,102.1,25,95.6,2251,0.649,1.08,6
CU,8/10/2022,77.8,2.58,"Acuña Jr., Ronald",fly_ball,313,95.9,39,78,2892,0.066,0.106,3
SL,8/10/2022,83.1,-1,"Contreras, William",ground_ball,1,50.2,-66,84.2,2520,0.226,0.206,1
FF,8/10/2022,94.3,2.76,"Grissom, Vaughn",fly_ball,412,101.7,32,95.5,2331,0.549,1.073,6
SL,8/10/2022,84.8,2.9,"Harris II, Michael",ground_ball,8,104.6,-15,86.1,2569,0.229,0.206,2
SL,8/10/2022,84.6,-2.85,"Grissom, Vaughn",line_drive,222,97.8,13,84.3,2433,0.891,0.845,4
SI,8/10/2022,96.5,-1.17,"Olson, Matt",ground_ball,135,110.5,4,97.5,1892,0.634,0.584,4
FF,8/9/2022,95.2,-2.86,"Contreras, William",ground_ball,28,97.5,-4,94.3,2001,0.317,0.308,2
CH,8/9/2022,85.3,-1.68,"Rosario, Eddie",ground_ball,18,95.8,-4,86.3,2149,0.314,0.317,2
SL,8/9/2022,85.7,-3.01,"Riley, Austin",ground_ball,124,109,5,84.5,2443,0.649,0.611,4
SL,8/9/2022,85.6,-3.09,"Swanson, Dansby",ground_ball,69,74.5,5,85,2434,0.223,0.201,2
CH,8/9/2022,85.4,-1.68,"Olson, Matt",ground_ball,2,91.5,-29,87.4,2161,0.086,0.087,2
SI,8/9/2022,95.8,-1.62,"Riley, Austin",popup,164,87.3,65,97.3,2145,0.006,0.006,3
FF,8/9/2022,94.3,-2.99,"Acuña Jr., Ronald",ground_ball,114,99,6,93.4,2199,0.62,0.579,4
CH,8/9/2022,88.9,-3.13,"Harris II, Michael",ground_ball,1,54.1,-58,88.5,1893,0.226,0.203,1
SI,8/9/2022,95.7,-1.61,"Swanson, Dansby",ground_ball,113,106.8,5,97.3,2369,0.58,0.532,4
FS,8/9/2022,92.5,-1.62,"Olson, Matt",ground_ball,1,64.6,-66,92.9,1620,0.251,0.226,2
SL,8/9/2022,86.6,-3.04,"Arcia, Orlando",line_drive,292,102.2,16,86.6,2377,0.529,0.566,4
FF,8/9/2022,96.3,-2.84,"Ozuna, Marcell",line_drive,284,113.6,14,95.5,2196,0.771,0.905,6
SI,8/9/2022,95.4,-1.61,"Acuña Jr., Ronald",line_drive,231,103.3,12,97,2242,0.917,0.914,4
CH,8/9/2022,85.5,-1.56,"Harris II, Michael",ground_ball,10,72.2,-9,87.2,2203,0.074,0.068,2
SL,8/9/2022,84.3,-1.6,"Arcia, Orlando",ground_ball,11,79.1,-6,85.9,2018,0.109,0.099,2
SL,8/9/2022,80.1,2.13,"Rosario, Eddie",line_drive,298,95.5,20,79.6,2326,0.263,0.3,4
SI,8/7/2022,93.1,4.07,"Adrianza, Ehire",ground_ball,14,97.6,-8,92.5,1850,0.271,0.263,2
CH,8/7/2022,86.7,3.7,"Acuña Jr., Ronald",fly_ball,376,100.1,28,87.2,1065,0.571,1.053,6
SI,8/7/2022,92.4,3.86,"Riley, Austin",line_drive,193,83.6,16,92.6,1850,0.946,0.908,4
FF,8/6/2022,94.7,-0.87,"Acuña Jr., Ronald",ground_ball,94,79.3,7,94.4,2374,0.349,0.34,2
SL,8/6/2022,81.1,-2.61,"Harris II, Michael",ground_ball,113,70.9,12,82,2761,0.323,0.291,2
SL,8/6/2022,84.7,-2.8,"Olson, Matt",ground_ball,6,77.2,-14,85.5,2545,0.06,0.054,2
SL,8/6/2022,84.5,-1.34,"Ozuna, Marcell",line_drive,306,92.2,20,85.4,2619,0.303,0.31,4
FF,8/6/2022,96.5,-1.07,"Grossman, Robbie",line_drive,307,102.8,16,98,2172,0.531,0.564,5
CU,8/6/2022,80.5,-0.93,"Arcia, Orlando",ground_ball,111,94,6,79.6,3277,0.471,0.436,4
SI,8/6/2022,93.8,-2.57,"Arcia, Orlando",line_drive,287,85.2,27,94.3,2306,0.106,0.114,3
FF,8/6/2022,97.2,-1.16,"Contreras, William",fly_ball,360,100.2,27,98.6,2328,0.54,0.926,6
SL,8/6/2022,84.7,-2.71,"Swanson, Dansby",ground_ball,6,90.2,-20,85.2,2400,0.103,0.096,2
SL,8/6/2022,87.3,-0.98,"d'Arnaud, Travis",ground_ball,13,99.3,-8,88.3,2497,0.286,0.283,2
SI,8/6/2022,93.7,-2.82,"Contreras, William",ground_ball,21,95.9,-6,94.8,2354,0.237,0.213,2
FF,8/6/2022,97,-1.08,"Olson, Matt",ground_ball,89,100.4,2,97.8,2166,0.443,0.399,4
SL,8/6/2022,88.6,-1.03,"Riley, Austin",line_drive,285,108.8,17,89.3,2464,0.711,0.903,6
FF,8/6/2022,96.5,-1.07,"Rosario, Eddie",ground_ball,18,80.9,-9,97.6,2335,0.111,0.103,2
SL,8/6/2022,83.6,-2.78,"Acuña Jr., Ronald",line_drive,268,97.7,14,83.7,2576,0.869,0.854,4
SI,8/6/2022,94.7,-2.73,"d'Arnaud, Travis",ground_ball,15,79,-9,95.7,2205,0.103,0.1,2
FF,8/6/2022,95.8,-0.88,"Swanson, Dansby",fly_ball,345,98.4,37,96.8,2107,0.171,0.33,3
FF,8/6/2022,91.6,-2.63,"Adrianza, Ehire",line_drive,341,103.6,22,90.8,2434,0.743,1.172,6
FF,8/6/2022,99.2,-2.13,"Contreras, William",ground_ball,12,93.8,-14,100.9,2430,0.166,0.149,2
SL,8/6/2022,81,-2.86,"Olson, Matt",line_drive,206,84.6,18,81.5,2715,0.849,0.816,4
SI,8/5/2022,92.3,-1.18,"Arcia, Orlando",ground_ball,38,87.1,0,92.3,2483,0.271,0.259,2
FC,8/5/2022,89.5,-1.5,"Contreras, William",fly_ball,409,106.6,26,90,2418,0.963,1.957,6
CU,8/5/2022,83.6,-1.55,"Ozuna, Marcell",fly_ball,198,85.2,59,83.9,2671,0.023,0.024,3
SI,8/5/2022,93,-1.36,"Riley, Austin",fly_ball,345,91.8,27,93.4,2333,0.129,0.165,3
SI,8/5/2022,90.6,-1.32,"Swanson, Dansby",fly_ball,336,94.1,41,90.9,2295,0.006,0.005,3
FF,8/5/2022,92.3,-2.57,"Harris II, Michael",ground_ball,111,84.2,6,92.6,2397,0.389,0.364,4
FC,8/5/2022,92,-1.74,"Acuña Jr., Ronald",fly_ball,235,69.7,32,92.7,2344,0.783,0.783,4
SL,8/5/2022,82.5,-2.71,"Arcia, Orlando",fly_ball,332,88,29,82.6,2552,0.071,0.089,3
SL,8/4/2022,92.1,-1.87,"d'Arnaud, Travis",fly_ball,254,77,30,94.4,2337,0.269,0.249,3
SI,8/4/2022,95.2,-2.51,"Harris II, Michael",ground_ball,69,94.3,3,95.9,2106,0.411,0.387,4
FF,8/4/2022,100.2,-1.84,"Rosario, Eddie",line_drive,224,93.1,14,102,2435,0.931,0.911,4
SL,8/4/2022,79.9,-2.65,"Arcia, Orlando",ground_ball,140,90.9,8,80.6,2456,0.543,0.508,4
SI,8/4/2022,94.1,-2.62,"Ozuna, Marcell",ground_ball,76,68.3,7,94.6,2208,0.174,0.157,2
SI,8/4/2022,93.3,-2.64,"d'Arnaud, Travis",ground_ball,56,99,1,93.8,2160,0.406,0.365,4
SL,8/4/2022,90,-2.03,"Swanson, Dansby",ground_ball,86,38.5,33,91.7,2228,0.186,0.167,1
SI,8/3/2022,95.7,-1.64,"Ozuna, Marcell",fly_ball,325,85.1,38,98.2,2212,0.014,0.018,3
