pitch_type,game_date,release_speed,release_pos_x,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,9/28/2022,88,-2.08,"d'Arnaud, Travis",fly_ball,252,73.9,30,88.6,2276,0.52,0.5,3
CU,9/28/2022,79.5,-2.04,"Contreras, William",fly_ball,369,105.7,31,79.6,2298,0.851,1.773,6
FF,9/27/2022,94,-1.79,"Harris II, Michael",line_drive,121,76.1,9,94.9,2190,0.329,0.309,2
FC,9/27/2022,90.5,-2.04,"Arcia, Orlando",ground_ball,1,53.3,-56,91.3,2315,0.22,0.198,1
SI,9/27/2022,95.4,-2.39,"Riley, Austin",ground_ball,13,73.8,-9,95.7,2282,0.086,0.087,2
SI,9/27/2022,93.6,-2.53,"Swanson, Dansby",ground_ball,28,98.6,-5,93.9,2211,0.289,0.26,2
CH,9/27/2022,84.1,-1.88,"Rosario, Eddie",ground_ball,3,74.1,-32,85,1660,0.051,0.046,2
SI,9/27/2022,94.3,-2.24,"Contreras, William",ground_ball,95,91.9,6,94.7,2272,0.48,0.45,4
SI,9/27/2022,93,-2.34,"Harris II, Michael",ground_ball,31,107.1,-4,93.1,2252,0.411,0.373,2
FF,9/27/2022,95.4,-2.3,"Acuña Jr., Ronald",fly_ball,407,110.8,27,95.3,2280,0.991,2.043,6
SI,9/27/2022,94.9,-2.38,"Arcia, Orlando",ground_ball,103,89.5,6,95.2,2312,0.446,0.401,4
FC,9/27/2022,91.5,-2.08,"Olson, Matt",fly_ball,353,101.7,37,91.7,2397,0.377,0.746,5
SI,9/26/2022,96.9,-2.47,"Ozuna, Marcell",ground_ball,130,58.2,17,97.4,2391,0.309,0.278,1
SI,9/26/2022,96.7,-2.54,"Rosario, Eddie",line_drive,186,66.2,24,97.3,2355,0.843,0.777,4
SI,9/26/2022,96.5,-2.45,"Contreras, William",ground_ball,10,102.2,-11,97.2,2382,0.257,0.231,2
FF,9/26/2022,97.6,-1.8,"Harris II, Michael",ground_ball,7,92.8,-14,98.4,2195,0.163,0.15,2
SI,9/26/2022,90,-3.61,"Acuña Jr., Ronald",line_drive,133,85.8,10,91.7,2231,0.469,0.422,4
SI,9/26/2022,88.7,-3.49,"Arcia, Orlando",line_drive,173,79.3,13,90.9,2369,0.54,0.486,4
FF,9/26/2022,96.4,-1.79,"Swanson, Dansby",line_drive,311,105.8,15,96.8,2100,0.611,0.657,5
FF,9/25/2022,93.5,-1.87,"Riley, Austin",line_drive,324,110.4,16,92.8,2411,0.714,0.853,6
KC,9/25/2022,84.6,-2.67,"Rosario, Eddie",line_drive,259,97.1,15,85.1,2574,0.791,0.8,4
CH,9/25/2022,88.9,-1.66,"Harris II, Michael",line_drive,243,94.9,12,88.4,1539,0.894,0.873,4
SI,9/25/2022,94.3,-2.77,"Contreras, William",ground_ball,18,102.7,-6,95.3,2202,0.323,0.301,2
KC,9/25/2022,85.1,-2.63,"Olson, Matt",fly_ball,,89.5,34,,2630,0.031,0.042,3
SL,9/25/2022,84.6,-1.49,"Swanson, Dansby",line_drive,277,85,23,84,2292,0.297,0.275,3
FF,9/25/2022,93.7,-1.68,"Arcia, Orlando",popup,189,97.2,62,92.9,2378,0.017,0.024,3
FF,9/25/2022,98.1,-2.03,"Swanson, Dansby",fly_ball,286,87.3,41,98.2,2324,0.011,0.014,3
SI,9/25/2022,94.4,-2.74,"d'Arnaud, Travis",ground_ball,2,85.6,-51,95.3,2124,0.143,0.134,2
FF,9/25/2022,94.1,-1.79,"Acuña Jr., Ronald",line_drive,185,81.8,15,93.2,2382,0.86,0.826,4
FF,9/25/2022,93.5,-1.86,"Rosario, Eddie",fly_ball,381,98.4,33,92.2,2353,0.251,0.492,5
SI,9/24/2022,98.9,-1.89,"Grissom, Vaughn",ground_ball,21,101.4,-6,98.9,2447,0.254,0.229,2
CH,9/24/2022,92.5,-2.07,"Harris II, Michael",ground_ball,15,99.7,-6,92.8,1918,0.28,0.252,2
KC,9/24/2022,81.8,-2.57,"Swanson, Dansby",fly_ball,320,95,43,82.5,2568,0.017,0.026,3
SI,9/24/2022,95,-2.47,"d'Arnaud, Travis",ground_ball,13,102.6,-10,96,2142,0.271,0.244,2
SL,9/24/2022,91.7,-2.29,"d'Arnaud, Travis",fly_ball,297,89.1,31,91.4,2465,0.054,0.077,3
CU,9/24/2022,77.8,-2.74,"Riley, Austin",popup,113,83.2,73,78,2485,0.006,0.005,3
FC,9/24/2022,92.4,-2.39,"Arcia, Orlando",ground_ball,9,82.9,-18,93.2,2644,0.086,0.086,2
FC,9/24/2022,91.3,-2.76,"Contreras, William",ground_ball,83,85.4,5,92.5,2116,0.403,0.404,4
