pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FC,9/18/2022,89.8,"McCormick, Chas",ground_ball,2,62.8,-53,91,2196,0.234,0.217,2
FF,9/18/2022,94.1,"Mancini, Trey",line_drive,322,109.7,13,95.5,2118,0.834,0.902,5
CH,9/17/2022,82.7,"Hensley, David",ground_ball,11,73.5,-9,82.9,1504,0.086,0.087,2
SL,9/17/2022,87.6,"Tucker, Kyle",ground_ball,4,86,-34,88.7,2201,0.071,0.068,2
SL,9/17/2022,88.3,"Vázquez, Christian",ground_ball,15,98.1,-7,87,2147,0.26,0.24,2
FF,9/17/2022,93.4,"McCormick, Chas",ground_ball,14,74,-7,91.7,2067,0.074,0.067,2
CH,9/16/2022,82,"Maldonado, Martín",fly_ball,348,96.1,41,82.3,1496,0.04,0.066,3
CU,9/16/2022,77.4,"Tucker, Kyle",fly_ball,340,100.3,44,77.5,2092,0.046,0.076,3
CU,9/16/2022,74.7,"Bregman, Alex",fly_ball,351,96.7,38,75.2,1938,0.12,0.235,3
SL,9/15/2022,84.2,"Díaz, Aledmys",line_drive,386,104.3,21,82.8,2667,0.634,0.884,6
SI,9/15/2022,92.9,"Tucker, Kyle",line_drive,244,98.4,12,90.6,2560,0.906,0.873,4
FF,9/14/2022,99.9,"Altuve, Jose",ground_ball,5,106.6,-17,100.9,2372,0.22,0.202,2
FF,9/14/2022,99.3,"Vázquez, Christian",popup,184,60.5,37,99.9,2424,0.474,0.427,3
SI,9/14/2022,97.6,"Mancini, Trey",ground_ball,5,87,-28,98.5,2430,0.046,0.041,2
SL,9/13/2022,82.2,"Dubón, Mauricio",ground_ball,0,50,-83,82.5,2445,0.151,0.136,1
FF,9/13/2022,92.8,"Gurriel, Yuli",line_drive,381,102.1,22,93.5,2171,0.571,0.8,6
FF,9/13/2022,93.4,"Tucker, Kyle",fly_ball,262,100.4,54,93.6,2269,0.011,0.014,3
SL,9/13/2022,86.2,"Peña, Jeremy",ground_ball,35,100.3,-1,86.8,2650,0.386,0.357,2
SI,9/13/2022,92.4,"Bregman, Alex",fly_ball,381,97.7,30,92.4,2142,0.349,0.621,6
SL,9/12/2022,85.5,"Gurriel, Yuli",ground_ball,5,97.8,-21,85.5,2373,0.114,0.103,2
FF,9/12/2022,94.5,"Tucker, Kyle",line_drive,290,90.4,20,94.5,1975,0.417,0.418,4
FF,9/12/2022,95.9,"Bregman, Alex",line_drive,183,96.7,9,95.5,2207,0.634,0.571,4
SL,9/12/2022,87.1,"Alvarez, Yordan",fly_ball,384,103.2,35,86,2411,0.554,1.124,6
FF,9/12/2022,93.7,"Bregman, Alex",fly_ball,286,81.4,38,94.4,2081,0.023,0.024,3
FF,9/12/2022,94.9,"Altuve, Jose",line_drive,147,70.5,14,94.7,2037,0.417,0.375,2
SL,9/11/2022,86.5,"Dubón, Mauricio",fly_ball,206,80,52,85.8,2612,0.046,0.046,3
FC,9/11/2022,88.5,"Vázquez, Christian",fly_ball,356,96.8,31,90,2493,0.249,0.45,5
FF,9/11/2022,93.5,"Tucker, Kyle",fly_ball,391,102.9,34,94.2,2349,0.571,1.151,6
FF,9/10/2022,95.3,"Bregman, Alex",fly_ball,217,84.8,55,95.6,2392,0.023,0.028,3
FF,9/9/2022,95.1,"Matijevic, J.J.",fly_ball,215,91.5,58,96.3,2307,0.006,0.007,3
FC,9/9/2022,91.2,"Tucker, Kyle",ground_ball,3,67.2,-24,92.2,2439,0.043,0.04,2
