pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FS,9/17/2022,87.7,"Frazier, Adam",ground_ball,18,74.4,-2,88.8,1168,0.094,0.085,2
SL,9/17/2022,86.7,"France, Ty",ground_ball,4,70,-20,86.5,2093,0.046,0.041,2
FF,9/16/2022,95.9,"Haggerty, Sam",ground_ball,8,83,-15,96.5,2236,0.103,0.096,2
SL,9/16/2022,80.6,"France, Ty",fly_ball,402,102.3,30,80.3,2493,0.634,1.242,6
FF,9/16/2022,96.2,"Winker, Jesse",ground_ball,59,99.6,2,96.5,2407,0.443,0.399,4
SI,9/16/2022,91,"France, Ty",fly_ball,297,91.1,35,88.8,2473,0.037,0.054,3
SL,9/16/2022,83.2,"Rodríguez, Julio",fly_ball,224,82.5,52,81.3,2662,0.034,0.041,3
FC,9/13/2022,86.6,"Santana, Carlos",ground_ball,95,110.1,5,87.7,2739,0.657,0.608,4
FC,9/10/2022,87.4,"France, Ty",popup,79,89.8,73,87.7,2174,0.009,0.008,3
FS,9/10/2022,87,"Raleigh, Cal",ground_ball,4,73.8,-24,86.2,1174,0.026,0.023,2
SI,9/10/2022,91.7,"Rodríguez, Julio",line_drive,226,106,11,91.6,2029,0.897,0.933,4
FF,9/10/2022,94.1,"Suárez, Eugenio",fly_ball,222,83.6,55,93.4,2415,0.026,0.03,3
SI,9/7/2022,95.2,"Crawford, J.P.",ground_ball,9,101.9,-14,95.5,1917,0.234,0.216,2
SI,9/7/2022,94.9,"Frazier, Adam",ground_ball,48,92.7,0,95.8,1977,0.357,0.35,2
CU,9/6/2022,82.7,"Raleigh, Cal",fly_ball,383,103.4,29,82.1,2563,0.717,1.424,6
FF,9/6/2022,94.5,"France, Ty",ground_ball,23,52.7,-2,92.9,2235,0.111,0.1,1
FF,9/6/2022,91.9,"Crawford, J.P.",fly_ball,264,81,40,90.9,2010,0.023,0.022,3
FF,9/5/2022,98.1,"Crawford, J.P.",fly_ball,234,72.2,29,99.6,2570,0.757,0.733,4
SI,9/5/2022,95.8,"France, Ty",fly_ball,340,93.2,33,96.4,2257,0.066,0.102,3
SL,9/5/2022,87,"Raleigh, Cal",fly_ball,259,98.2,50,88.5,2239,0.006,0.009,3
CH,9/4/2022,86.6,"France, Ty",ground_ball,14,99.2,-9,87,1456,0.274,0.266,2
