pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,9/20/2022,98.5,"Grissom, Vaughn",ground_ball,57,78.7,2,98.8,2136,0.189,0.17,2
FF,9/20/2022,98.7,"Grossman, Robbie",fly_ball,270,80.7,39,98.5,1976,0.02,0.018,3
SL,9/19/2022,75.9,"Riley, Austin",fly_ball,330,99.4,43,77.3,2278,0.043,0.069,3
SI,9/19/2022,89.9,"Acuña Jr., Ronald",ground_ball,6,80.1,-21,92.5,2331,0.04,0.038,2
SI,9/19/2022,97,"Harris II, Michael",fly_ball,235,90.1,55,97.5,2305,0.009,0.008,3
SI,9/19/2022,96.1,"d'Arnaud, Travis",ground_ball,26,77.2,-2,96.5,2320,0.123,0.115,2
SI,9/18/2022,96.7,"Riley, Austin",line_drive,163,92.5,9,97.4,1960,0.617,0.572,4
FC,9/18/2022,92.1,"Grossman, Robbie",popup,146,64.3,61,92.9,2667,0.006,0.005,3
KC,9/18/2022,83.8,"Ozuna, Marcell",line_drive,264,102.4,16,83.8,2531,0.529,0.566,4
FC,9/18/2022,93.1,"Harris II, Michael",ground_ball,55,95.4,1,93.4,2652,0.414,0.397,2
SI,9/17/2022,93.4,"Contreras, William",ground_ball,12,88.3,-9,92.5,2352,0.149,0.144,2
SI,9/16/2022,98.8,"Contreras, William",line_drive,194,89.1,10,99.3,2337,0.591,0.534,4
CH,9/16/2022,89.1,"Albies, Ozzie",fly_ball,202,80.8,55,88.6,2075,0.04,0.04,3
SI,9/16/2022,98.3,"Acuña Jr., Ronald",fly_ball,383,102.2,32,98.7,2346,0.549,1.073,6
FF,9/16/2022,98.1,"Harris II, Michael",line_drive,245,97.6,13,97.7,2138,0.891,0.845,4
SL,9/14/2022,84.7,"Swanson, Dansby",line_drive,347,99,19,85.4,2699,0.366,0.44,4
SL,9/14/2022,84.4,"Grossman, Robbie",fly_ball,234,80,51,85.7,2678,0.049,0.053,3
SL,9/14/2022,84.2,"Harris II, Michael",ground_ball,2,75.5,-38,84.1,2487,0.103,0.1,2
SL,9/13/2022,86.2,"Riley, Austin",fly_ball,387,102.6,32,86.4,2413,0.609,1.208,6
SI,9/13/2022,94.4,"Swanson, Dansby",ground_ball,43,87.9,0,93.3,2085,0.24,0.216,2
SL,9/13/2022,87,"Acuña Jr., Ronald",ground_ball,1,57.6,-60,86.4,2551,0.24,0.216,1
FF,9/13/2022,98.1,"Olson, Matt",fly_ball,255,93.5,54,99.9,2327,0.006,0.005,3
FF,9/13/2022,97.2,"Riley, Austin",ground_ball,5,110,-21,98.9,2120,0.186,0.167,2
